CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
78,Palayamkottai,15872,12593,4.200631655,4.100129203,DMK,Margin,ThirdFront,438,154,பாளையங்கோட்டை,தி.மு.க
79,Rajapalayam,4802,12505,3.681422156,4.097083696,DMK,Margin,ThirdFront,443,156,ராஜப்பாளையம்,தி.மு.க
80,Vedasandur,19938,12445,4.299681592,4.094994901,AIADMK,Margin,ThirdFront,448,158,வேடச்சந்தூர்,அ.இ.அ.தி.மு.க
81,Mayiladuthurai,4778,12294,3.679246145,4.089693209,AIADMK,Margin,ThirdFront,453,160,மயிலாடுதுறை,அ.இ.அ.தி.மு.க
82,Alandur,19169,12291,4.282599457,4.089587219,DMK,Margin,ThirdFront,458,162,ஆலந்தூர்,தி.மு.க
83,Coimbatore (North),7724,12153,3.887842265,4.084683498,AIADMK,Margin,ThirdFront,463,164,கோயம்பத்தூர் (வடக்கு),அ.இ.அ.தி.மு.க
84,Kangayam,13135,12108,4.118430077,4.083072412,AIADMK,Margin,ThirdFront,468,166,காங்கேயம்,அ.இ.அ.தி.மு.க
85,Sirkazhi,9003,12060,3.95438725,4.081347308,AIADMK,Margin,ThirdFront,473,168,சீர்காழி,அ.இ.அ.தி.மு.க
86,Madurantakam,2957,11773,3.470851325,4.070887144,DMK,Margin,ThirdFront,478,170,மதுராந்தகம்,தி.மு.க
87,Madurai East,32772,11599,4.515502946,4.064420548,DMK,Margin,ThirdFront,483,172,மதுரை (கிழக்கு),தி.மு.க
88,Perambalur,6853,11482,3.835880732,4.060017543,AIADMK,Margin,ThirdFront,488,174,பெரம்பலூர்,அ.இ.அ.தி.மு.க
89,Tiruchirappalli (West),28415,11469,4.45354766,4.059525553,DMK,Margin,ThirdFront,493,176,திருச்சிராப்பள்ளி (மேற்கு),தி.மு.க
90,Alangudi,9941,11387,3.997430074,4.056409321,DMK,Margin,ThirdFront,498,178,ஆலங்குடி,தி.மு.க
91,Nannilam,21276,11327,4.327889982,4.054114901,AIADMK,Margin,ThirdFront,503,180,நன்னிலம்,அ.இ.அ.தி.மு.க
92,Madurai Central,5762,11235,3.760573254,4.050573077,DMK,Margin,ThirdFront,508,182,மதுரை (மத்தி),தி.மு.க
93,Pattukkottai,12358,11231,4.091948191,4.050418427,AIADMK,Margin,ThirdFront,513,184,பட்டுக்கோட்டை,அ.இ.அ.தி.மு.க
94,Nagapattinam,20550,11088,4.312811826,4.044853217,AIADMK,Margin,ThirdFront,518,186,நாகப்பட்டினம்,அ.இ.அ.தி.மு.க
95,Singanallur,5180,11035,3.71432976,4.042772337,DMK,Margin,ThirdFront,523,188,சிங்கநல்லூர்,தி.மு.க
96,Mailam,12306,10866,4.090116911,4.036069701,DMK,Margin,ThirdFront,528,190,மைலம்,தி.மு.க
97,Cheyyar,8527,10855,3.930796263,4.035629828,AIADMK,Margin,ThirdFront,533,192,செய்யாறு,அ.இ.அ.தி.மு.க
98,Andipatti,30196,10776,4.479949417,4.032457583,AIADMK,Margin,ThirdFront,538,194,ஆண்டிப்பட்டி,அ.இ.அ.தி.மு.க
99,Gingee,22057,10672,4.343546443,4.028245817,DMK,Margin,ThirdFront,543,196,செஞ்சி,தி.மு.க
100,Thiruvidaimarudur,532,10622,2.725911632,4.026206297,DMK,Margin,ThirdFront,548,198,திருவிடைமருதூர்,தி.மு.க
101,Yercaud,17394,10455,4.240399466,4.019324037,AIADMK,Margin,ThirdFront,553,200,ஏற்காடு,அ.இ.அ.தி.மு.க
102,Perambur,519,10281,2.715167358,4.012035359,AIADMK,Margin,ThirdFront,558,202,பெரம்பூர்,அ.இ.அ.தி.மு.க
103,Cumbum,11221,10149,4.050031562,4.006423253,AIADMK,Margin,ThirdFront,563,204,கம்பம்,அ.இ.அ.தி.மு.க
104,Virudhunagar,2870,10127,3.457881897,4.00548081,DMK,Margin,ThirdFront,568,206,விருதுநகர்,தி.மு.க
105,Krishnarayapuram,35301,10043,4.547787008,4.001863463,AIADMK,Margin,ThirdFront,573,208,கிருஷ்ணராயபுரம்,அ.இ.அ.தி.மு.க
106,Vikravandi,6912,9981,3.839603729,3.999174056,DMK,Margin,ThirdFront,578,210,விக்கிரவாண்டி,தி.மு.க
107,Kalasapakkam,26414,9932,4.421834174,3.997036711,AIADMK,Margin,ThirdFront,583,212,கலசப்பாக்கம்,அ.இ.அ.தி.மு.க
108,Aruppukkottai,18054,9817,4.256573438,3.991978791,DMK,Margin,ThirdFront,588,214,அரப்புக்கோட்டை,தி.மு.க
